Month,Unemployment,Month_xts
May-19,7.52,01/05/2019
Apr-19,7.59,01/04/2019
Mar-19,7.64,01/03/2019
Feb-19,7.76,01/02/2019
Jan-19,7.82,01/01/2019
Dec-18,7.86,01/12/2018
Nov-18,7.93,01/11/2018
Oct-18,8.01,01/10/2018
Sep-18,8.02,01/09/2018
Aug-18,8.03,01/08/2018
Jul-18,8.11,01/07/2018
Jun-18,8.2,01/06/2018
May-18,8.26,01/05/2018
Apr-18,8.38,01/04/2018
Mar-18,8.46,01/03/2018
Feb-18,8.52,01/02/2018
Jan-18,8.61,01/01/2018
Dec-17,8.63,01/12/2017
Nov-17,8.71,01/11/2017
Oct-17,8.78,01/10/2017
Sep-17,8.89,01/09/2017
Aug-17,8.99,01/08/2017
Jul-17,9.05,01/07/2017
Jun-17,9.06,01/06/2017
May-17,9.17,01/05/2017
Apr-17,9.21,01/04/2017
Mar-17,9.37,01/03/2017
Feb-17,9.43,01/02/2017
Jan-17,9.55,01/01/2017
Dec-16,9.64,01/12/2016
Nov-16,9.76,01/11/2016
Oct-16,9.77,01/10/2016
Sep-16,9.88,01/09/2016
Aug-16,9.91,01/08/2016
Jul-16,10,01/07/2016
Jun-16,10.11,01/06/2016
May-16,10.16,01/05/2016
Apr-16,10.23,01/04/2016
Mar-16,10.23,01/03/2016
Feb-16,10.34,01/02/2016
Jan-16,10.34,01/01/2016
Dec-15,10.44,01/12/2015
Nov-15,10.47,01/11/2015
Oct-15,10.6,01/10/2015
Sep-15,10.62,01/09/2015
Aug-15,10.67,01/08/2015
Jul-15,10.79,01/07/2015
Jun-15,10.99,01/06/2015
May-15,11.04,01/05/2015
Apr-15,11.1,01/04/2015
Mar-15,11.19,01/03/2015
Feb-15,11.19,01/02/2015
Jan-15,11.28,01/01/2015
Dec-14,11.34,01/12/2014
Nov-14,11.51,01/11/2014
Oct-14,11.51,01/10/2014
Sep-14,11.51,01/09/2014
Aug-14,11.47,01/08/2014
Jul-14,11.58,01/07/2014
Jun-14,11.51,01/06/2014
May-14,11.65,01/05/2014
Apr-14,11.71,01/04/2014
Mar-14,11.81,01/03/2014
Feb-14,11.88,01/02/2014
Jan-14,11.92,01/01/2014
Dec-13,11.88,01/12/2013
Nov-13,11.92,01/11/2013
Oct-13,11.95,01/10/2013
Sep-13,12.04,01/09/2013
Aug-13,12.02,01/08/2013
Jul-13,12.05,01/07/2013
Jun-13,12.07,01/06/2013
May-13,12.07,01/05/2013
Apr-13,12.09,01/04/2013
Mar-13,12.05,01/03/2013
Feb-13,12.06,01/02/2013
Jan-13,12.02,01/01/2013
Dec-12,11.88,01/12/2012
Nov-12,11.81,01/11/2012
Oct-12,11.73,01/10/2012
Sep-12,11.59,01/09/2012
Aug-12,11.51,01/08/2012
Jul-12,11.46,01/07/2012
Jun-12,11.4,01/06/2012
May-12,11.31,01/05/2012
Apr-12,11.22,01/04/2012
Mar-12,11.09,01/03/2012
Feb-12,10.92,01/02/2012
Jan-12,10.78,01/01/2012
Dec-11,10.72,01/12/2011
Nov-11,10.61,01/11/2011
Oct-11,10.47,01/10/2011
Sep-11,10.38,01/09/2011
Aug-11,10.24,01/08/2011
Jul-11,10.15,01/07/2011
Jun-11,10.04,01/06/2011
May-11,10,01/05/2011
Apr-11,9.96,01/04/2011
Mar-11,10.01,01/03/2011
Feb-11,10.03,01/02/2011
Jan-11,10.09,01/01/2011
Dec-10,10.13,01/12/2010
Nov-10,10.14,01/11/2010
Oct-10,10.19,01/10/2010
Sep-10,10.17,01/09/2010
Aug-10,10.18,01/08/2010
Jul-10,10.19,01/07/2010
Jun-10,10.26,01/06/2010
May-10,10.31,01/05/2010
Apr-10,10.32,01/04/2010
Mar-10,10.24,01/03/2010
Feb-10,10.22,01/02/2010
Jan-10,10.16,01/01/2010
Dec-09,10.14,01/12/2009
Nov-09,10.08,01/11/2009
Oct-09,10.05,01/10/2009
Sep-09,10,01/09/2009
Aug-09,9.88,01/08/2009
Jul-09,9.79,01/07/2009
Jun-09,9.68,01/06/2009
May-09,9.57,01/05/2009
Apr-09,9.48,01/04/2009
Mar-09,9.33,01/03/2009
Feb-09,9.02,01/02/2009
Jan-09,8.72,01/01/2009
Dec-08,8.31,01/12/2008
Nov-08,8.05,01/11/2008
Oct-08,7.82,01/10/2008
Sep-08,7.65,01/09/2008
Aug-08,7.57,01/08/2008
Jul-08,7.48,01/07/2008
Jun-08,7.47,01/06/2008
May-08,7.39,01/05/2008
Apr-08,7.37,01/04/2008
Mar-08,7.27,01/03/2008
Feb-08,7.31,01/02/2008
Jan-08,7.33,01/01/2008
Dec-07,7.33,01/12/2007
Nov-07,7.32,01/11/2007
Oct-07,7.35,01/10/2007
Sep-07,7.39,01/09/2007
Aug-07,7.46,01/08/2007
Jul-07,7.51,01/07/2007
Jun-07,7.46,01/06/2007
May-07,7.54,01/05/2007
Apr-07,7.57,01/04/2007
Mar-07,7.68,01/03/2007
Feb-07,7.76,01/02/2007
Jan-07,7.87,01/01/2007
Dec-06,7.93,01/12/2006
Nov-06,8.05,01/11/2006
Oct-06,8.11,01/10/2006
Sep-06,8.17,01/09/2006
Aug-06,8.24,01/08/2006
Jul-06,8.29,01/07/2006
Jun-06,8.36,01/06/2006
May-06,8.49,01/05/2006
Apr-06,8.58,01/04/2006
Mar-06,8.68,01/03/2006
Feb-06,8.76,01/02/2006
Jan-06,8.8,01/01/2006
Dec-05,8.89,01/12/2005
Nov-05,8.95,01/11/2005
Oct-05,9.02,01/10/2005
Sep-05,9.03,01/09/2005
Aug-05,9.02,01/08/2005
Jul-05,9.08,01/07/2005
Jun-05,9.17,01/06/2005
May-05,9.18,01/05/2005
Apr-05,9.24,01/04/2005
Mar-05,9.17,01/03/2005
Feb-05,9.17,01/02/2005
Jan-05,9.16,01/01/2005
Dec-04,9.21,01/12/2004
Nov-04,9.28,01/11/2004
Oct-04,9.26,01/10/2004
Sep-04,9.27,01/09/2004
Aug-04,9.22,01/08/2004
Jul-04,9.21,01/07/2004
Jun-04,9.21,01/06/2004
May-04,9.26,01/05/2004
Apr-04,9.26,01/04/2004
Mar-04,9.28,01/03/2004
Feb-04,9.25,01/02/2004
Jan-04,9.21,01/01/2004
Dec-03,9.14,01/12/2003
Nov-03,9.08,01/11/2003
Oct-03,9.08,01/10/2003
Sep-03,9.08,01/09/2003
